objectid,title,format,filename,creator,date,subject,location,latitude,longitude,description,parentid
item21,"Map 20 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map20-STCFIP-1913.jpg,"Goad, Charles E.",1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 20), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item22,"Map 21 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map21-STCFIP-1913.jpg,"Goad, Charles E.",1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 21), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item23,"Map 22 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map22-STCFIP-1913.jpg,"Goad, Charles E.",1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 22), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item24,"Map 23 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map23-STCFIP-1913.jpg,"Goad, Charles E.",1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 23), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item25,"Map 24 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map24-STCFIP-1913.jpg,"Goad, Charles E.",1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 24), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item26,"Map 25 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map25-STCFIP-1913.jpg,"Goad, Charles E.",1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 25), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item27,"Map 26 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map26-STCFIP-1913.jpg,"Goad, Charles E.",1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 26), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item28,"Map 27 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map27-STCFIP-1913.jpg,"Goad, Charles E.",1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 27), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item29,"Map 28 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map28-STCFIP-1913.jpg,"Goad, Charles E.",1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 28), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item30,"Map 29 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map29-STCFIP-1913.jpg,"Goad, Charles E.",1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 29), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item31,"Map 30 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map30-STCFIP-1913.jpg,"Goad, Charles E.",1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 30), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item32,"Map 31 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map31_FIPStCatharines1913.jpg,"Goad, Charles E.",1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 31), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item33,"Map 32 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map32_FIPStCatharines1913.jpg,"Goad, Charles E.",1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 32), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item34,"Map 33 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map33_FIPStCatharines1913.jpg,"Goad, Charles E.",1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 33), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item35,"Map 34 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map34_FIPStCatharines1913.jpg,"Goad, Charles E.",1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 34), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item36,"Map 35 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map35_FIPStCatharines1913.jpg,"Goad, Charles E.",1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 35), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item37,"Map 36 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map36_FIPStCatharines1913.jpg,"Goad, Charles E.",1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 36), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item38,"Map 37 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map37_FIPStCatharines1913.jpg,"Goad, Charles E.",1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 37), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item39,"Map 38 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map38_FIPStCatharines1913.jpg,"Goad, Charles E.",1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 38), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item40,"Map 39 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map39_FIPStCatharines1913.jpg,"Goad, Charles E.",1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 39), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item41,"Street Index - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Street index-FIP-St Catharines 1913.jpg,"Goad, Charles E.",1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Street Index), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1
item42,"Fire Insurance Plans - Thorold, 1909",compound_object,FC3163_175_G62_1909Thorold_Sheet1.jpg,"Goad, Charles E.",1909,Fire insurance -- Ontario -- Thorold; Fire risk assessment -- Ontario -- Thorold; Real property -- Ontario -- Thorold; Thorold (Ont.); Welland Canal (Ont.),"Thorold, Ontario",43.1236,-79.1989,"The fire insurance plan for Thorold, Ontario, dated May 1909. The plan is dated April 1897, then revised 1909 and includes a revision sticker for May 1909. The revisions have been pasted on. The fire insurance plan consists of: sheet 1 (key plan, scale [1:6,000]), sheets 2-3.",
item43,"Sheet 1 - Fire Insurance Plans - Thorold, 1909",image/jpeg,FC3163_175_G62_1909Thorold_Sheet1.jpg,"Goad, Charles E.",1909,Fire insurance -- Ontario -- Thorold; Fire risk assessment -- Ontario -- Thorold; Real property -- Ontario -- Thorold; Thorold (Ont.); Welland Canal (Ont.),"Thorold, Ontario",,,"The fire insurance plan for Thorold, Ontario, dated May 1909. The plan is dated April 1897, then revised 1909 and includes a revision sticker for May 1909. The revisions have been pasted on. The fire insurance plan consists of: sheet 1 (key plan, scale [1:6,000]), sheets 2-3.",item42
item44,"Sheet 2 - Fire Insurance Plans - Thorold, 1909",image/jpeg,FC3163_175_G62_1909Thorold_Sheet2.jpg,"Goad, Charles E.",1909,Fire insurance -- Ontario -- Thorold; Fire risk assessment -- Ontario -- Thorold; Real property -- Ontario -- Thorold; Thorold (Ont.); Welland Canal (Ont.),"Thorold, Ontario",,,"The fire insurance plan for Thorold, Ontario, dated May 1909. The plan is dated April 1897, then revised 1909 and includes a revision sticker for May 1909. The revisions have been pasted on. The fire insurance plan consists of: sheet 1 (key plan, scale [1:6,000]), sheets 2-3.",item42
item45,"Sheet 3 - Fire Insurance Plans - Thorold, 1909",image/jpeg,FC3163_175_G62_1909Thorold_Sheet3.jpg,"Goad, Charles E.",1909,Fire insurance -- Ontario -- Thorold; Fire risk assessment -- Ontario -- Thorold; Real property -- Ontario -- Thorold; Thorold (Ont.); Welland Canal (Ont.),"Thorold, Ontario",,,"The fire insurance plan for Thorold, Ontario, dated May 1909. The plan is dated April 1897, then revised 1909 and includes a revision sticker for May 1909. The revisions have been pasted on. The fire insurance plan consists of: sheet 1 (key plan, scale [1:6,000]), sheets 2-3.",item42
item46,"Fire Insurance Plans - Bridgeburg, 1928",compound_object,FC3159_F7_A325_1928_BridgeburgSheet1.jpg,Underwriters' Survey Bureau,1928,Fort Erie (Ont.) -- History; Fire insurance Ontario Bridgeburg Maps; Fire risk assessment Ontario Bridgeburg Maps; Real property Ontario Bridgeburg Maps; Bridgeburg (Ont.) Maps.,"Bridgeburg, Ontario",42.9327,-78.9345,"The fire insurance plan for Bridgeburg, Fort Erie, Ontario, October 1928. The original plan is dated May 1909, but was revised to October 1928. The revisions have been pasted on top. The plan consists of: Sheets attached to cover at center fold. Consists of: sheet 1 (key plan, scale [1:6,000]), sheets 2-8. Sheets at scale 1:1,200: 3, 4, 7, 8. Call No. FC 3159 F7 A325 1928",
item47,"Sheet 1 - Fire Insurance Plans - Bridgeburg, 1928",image/jpeg,FC3159_F7_A325_1928_BridgeburgSheet1.jpg,Underwriters' Survey Bureau,1928,Fort Erie (Ont.) -- History; Fire insurance Ontario Bridgeburg Maps; Fire risk assessment Ontario Bridgeburg Maps; Real property Ontario Bridgeburg Maps; Bridgeburg (Ont.) Maps.,"Bridgeburg, Ontario",,,"The fire insurance plan for Bridgeburg, Fort Erie, Ontario, October 1928. The original plan is dated May 1909, but was revised to October 1928. The revisions have been pasted on top. The plan consists of: Sheets attached to cover at center fold. Consists of: sheet 1 (key plan, scale [1:6,000]), sheets 2-8. Sheets at scale 1:1,200: 3, 4, 7, 8. Call No. FC 3159 F7 A325 1928",item46
